uid	pubdate	authors	title	fulljournalname	elocationid
38927888	2024 Jun 10	"Cardoso-Carneiro D, Pinheiro J, Fontão P, Nogueira R, Gabriela-Freitas M, Raquel-Cunha A, Mendes A, Longatto-Filho A, Marques F, Moreira MAR, Reis RM, Martinho O"	Unveiling the RKIP and EGFR Inverse Relationship in Solid Tumors: A Case Study in Cervical Cancer.	Cancers	doi: 10.3390/cancers16122182
38927080	2024 Jun 10	"He Y, Hu Y, Cheng Y, Li X, Chen C, Zhang S, He H, Cao F"	Multi-Omics Insights into Disulfidptosis-Related Genes Reveal RPN1 as a Therapeutic Target for Liver Cancer.	Biomolecules	doi: 10.3390/biom14060677
38926967	2024 Jun	"Qian H, Yuan HL, Zhang T, Yang YW, Feng JF"	"[Clinical Significance of Serum ADA Combined with GLB, CREA, β(2)-MG and HGB in Newly Diagnosed Multiple Myeloma]."	Zhongguo shi yan xue ye xue za zhi	doi: 10.19746/j.cnki.issn.1009-2137.2024.03.019
38923758	2024 Jun	"Tan X, Li G, Deng H, Xiao G, Wang Y, Zhang C, Chen Y"	Obesity enhances the response to neoadjuvant anti-PD1 therapy in oral tongue squamous cell carcinoma.	Cancer medicine	doi: 10.1002/cam4.7346
38919375	2024	"Klockner TC, Campbell CS"	Selection forces underlying aneuploidy patterns in cancer.	Molecular & cellular oncology	doi: 10.1080/23723556.2024.2369388
38918441	2024 Jun 25	"Ye Z, Zhong Y, Zhang Z"	"Pan-cancer multi-omics analysis of PTBP1 reveals it as an inflammatory, progressive and prognostic marker in glioma."	Scientific reports	doi: 10.1038/s41598-024-64979-5
38917176	2024	"Wang C, Zhu X, Zheng M, Chen Y, Jiang R, He X, Liu Z, Lu Z, Wang Z, Yang Y"	Pan-cancer analysis of PSCA that is associated with immune infiltration and affects patient prognosis.	PloS one	doi: 10.1371/journal.pone.0298469
38914792	2024 Jun 24	"Qin L, Li S, Cao X, Huang T, Liu Y, Chen O"	Potential diagnostic biomarkers for immunogenic cell death in elderly female patients with ischemic stroke: identification and analysis.	Scientific reports	doi: 10.1038/s41598-024-65390-w
38913914	2024 Jun 21	"Liu J, Li H, Dong Q, Liang Z"	Multi omics analysis of mitophagy subtypes and integration of machine learning for predicting immunotherapy responses in head and neck squamous cell carcinoma.	Aging	doi: 10.18632/aging.205964
38911388	2024	"Wu Z, Song S, Zhou J, Zhang Q, Yu J"	Pan-Cancer Analysis of ART1 and its Potential Value in Gastric Cancer.	Journal of Cancer	doi: 10.7150/jca.96033
38911386	2024	"Xu X, Hei Y, Wang B, Tian S, Chen X, Zhang J, Wang F"	TXNDC12 inhibits pancreatic tumor cells ferroptosis by regulating GSH/GGT7 and promotes its growth and metastasis.	Journal of Cancer	doi: 10.7150/jca.93208
38911364	2024	"Wei M, Zhou G, Chen L, Zhang Y, Ma W, Gao L, Gao G"	The prognostic and immune significance of PLBD1 in pan-cancer and its roles in proliferation and invasion of glioma.	Journal of Cancer	doi: 10.7150/jca.96365
38910478	2024 Jun 20	"Jiang J, Lu J, Feng Y, Zhao Y, Su J, Zeng T, Chen Y, Shen K, Jia Y, Lin S"	Identification of KRT80 as a Novel Prognostic and Predictive Biomarker of Human Lung Adenocarcinoma via Bioinformatics Approaches.	Combinatorial chemistry & high throughput screening	doi: 10.2174/0113862073294339240603103623
38907941	2024 Jun 22	"Ghosh S, Goswami D, Dutta R, Ghatak D, De R"	A Comprehensive Pan-Cancer Analysis of Cytochrome C Oxidase Assembly Factor 1 (COA1) Reveals Instrumental Role of Mitochondrial Protein Assembly in Cancer that Modulates Disease Progression and Prognostic Outcome.	Cell biochemistry and biophysics	doi: 10.1007/s12013-024-01366-x
38904676	2024 Jun 21	"Shenoy US, Basavarajappa DS, Kabekkodu SP, Radhakrishnan R"	Pan-cancer exploration of oncogenic and clinical impacts revealed that HOXA9 is a diagnostic indicator of tumorigenesis.	Clinical and experimental medicine	doi: 10.1007/s10238-024-01389-x
38903527	2024	"Chen J, Chen R, Huang J"	A pan-cancer single-cell transcriptional analysis of antigen-presenting cancer-associated fibroblasts in the tumor microenvironment.	Frontiers in immunology	doi: 10.3389/fimmu.2024.1372432
38902578	2024 Jun 20	"Zhang G, Lu S, Ren Z, Wei L, Chen C, Tao P, Pan X"	SIRT2 as a Potential Biomarker in Lung Adenocarcinoma: Implications for Immune Infiltration.	Molecular biotechnology	doi: 10.1007/s12033-024-01198-3
38900401	2024 Jun 20	"Zan Y, Ding Y"	Pancancer Analysis of NSUN2 with a Focus on Prognostic and Immunological Roles in Endometrial Cancer.	"Reproductive sciences (Thousand Oaks, Calif.)"	doi: 10.1007/s43032-024-01625-5
38899748	2024 Jun	"Chen Q, Gao F, Wu J, Zhang K, Du T, Chen Y, Cai R, Zhao D, Deng R, Tang J"	Comprehensive pan-cancer analysis of mitochondrial outer membrane permeabilisation activity reveals positive immunomodulation and assists in identifying potential therapeutic targets for immunotherapy resistance.	Clinical and translational medicine	doi: 10.1002/ctm2.1735
38894777	2024 May	"Salem A, Ahmed S, Khalfallah M, Hamadan N, ElShikh W, Alfaki M"	A Comprehensive Pan-Cancer Analysis Reveals Cyclin-Dependent Kinase Inhibitor 2A Gene as a Potential Diagnostic and Prognostic Biomarker in Colon Adenocarcinoma.	Cureus	doi: 10.7759/cureus.60586
38890718	2024 Jun 18	"Noh K, Choi H, Jo EH, Yoo W, Park KC"	Role of SYT11 in human pan-cancer using comprehensive approaches.	European journal of medical research	doi: 10.1186/s40001-024-01931-3
38887832	2024 Jun 17	"Sah B, Singh J, Shen Y, Goldfarb N, Samie FH, Geskin LJ, Liu L"	Loss of CELF2 promotes skin tumorigenesis and increases drug resistance.	International journal of dermatology	doi: 10.1111/ijd.17295
38886862	2024 Jun 17	"Yan T, Pang X, Liang B, Meng Q, Wei H, Li W, Liu D, Hu Y"	Comprehensive bioinformatics analysis of human cytomegalovirus pathway genes in pan-cancer.	Human genomics	doi: 10.1186/s40246-024-00633-5
38886487	2024 Jun 17	"Blanchett R, Lau KH, Pfeifer GP"	Homeobox and Polycomb target gene methylation in human solid tumors.	Scientific reports	doi: 10.1038/s41598-024-64569-5
38886133	2024 Aug	"Li Y, Fei H, Xiao Z, Lu X, Zhang H, Liu M"	Comprehensive analysis of EphA2 in pan-cancer: A prognostic biomarker associated with cancer immunity.	Clinical and experimental pharmacology & physiology	doi: 10.1111/1440-1681.13902
38883368	2024	"Pan J, Mahsud I, Ul Haq M, Khan S, Alhomrani M, Alamri AS, Alghamdi SA, ALSuhaymi N, Baothman BK, Almaghrabi S, Ullah S, Jamil M"	"Comprehensive pan-cancer analysis reveals VSIR as a candidate immunologic, diagnostic, and prognostic biomarker."	American journal of translational research	doi: 10.62347/JMBZ8836
38883336	2024	"Huang XW, Li Y, Jiang LN, Zhao BK, Liu YS, Chen C, Zhao D, Zhang XL, Li ML, Jiang YY, Liu SH, Zhu L, Zhao JM"	Comprehensive pan-cancer investigation of carnosine dipeptidase 1 and its prospective prognostic significance in hepatocellular carcinoma.	"Open medicine (Warsaw, Poland)"	doi: 10.1515/med-2024-0982
38882287	2024 Jun 15	"Ke B, Jin P, Wang XJ, Liu N, Liang H, Zhang RP"	Oncogenic and immunological role of EDIL3 in human tumours: From pan-cancer analysis to validation in gastric cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e32291
38881943	2024 May 31	"Zhang H, Lu J, Dong Q, Wang G, Wang X"	CD112 is an epithelial-to-mesenchymal transition-related and immunological biomarker in pan-cancer.	Translational cancer research	doi: 10.21037/tcr-23-2258
38881923	2024 May 31	"Wang X, Zhu HQ, Lin SM, Xia BY, Xu B"	RPN1: a pan-cancer biomarker and disulfidptosis regulator.	Translational cancer research	doi: 10.21037/tcr-24-581
38877336	2024 Jun 14	"Jin F, He L, Wang J, Zhang Y, Yang M"	SFXN3 is a Prognostic Marker and Promotes the Growth of Acute Myeloid Leukemia.	Cell biochemistry and biophysics	doi: 10.1007/s12013-024-01326-5
38873671	2024 Jun 15	"Wang Y, Fu G, Chen X, Xia Z, Qi M, Du X, Liu K, Liu Q, Sun N, Shi C, Qu K, Zhang R"	Selenoprotein GPX3 is a novel prognostic indicator for stomach adenocarcinoma and brain low-grade gliomas: Evidence from an integrative pan-cancer analysis.	Heliyon	doi: 10.1016/j.heliyon.2024.e32271
38872862	2024 Aug	"Yang L, Han M, Zhao X, Zheng L, Kong F, Zhang S, Jia L, Li X, Wang M"	Comprehensive pan‑cancer analysis of MTDH for human tumor prognosis and as an immunological biomarker including breast and kidney cancer.	Oncology letters	doi: 10.3892/ol.2024.14482
38871246	2024 Jun 12	"Yin Y, Wang Y, Yu X, Li Y, Zhao Y, Liu Z"	Overactivation of XBP1 in plasma cells implies worse survival through innate immunity in esophageal squamous cell carcinoma.	Cancer letters	doi: 10.1016/j.canlet.2024.217045
38868535	2024	"Qin L, Chen C, Gui Z, Jiang Y"	IRX5's influence on macrophage polarization and outcome in papillary thyroid cancer.	Frontiers in oncology	doi: 10.3389/fonc.2024.1399484
38868069	2024 Jun 15	"Chen R, Gao W, Liang L, Yu H, Song W"	Stem cell index-based RiskScore model for predicting prognosis in thyroid cancer and experimental verification.	Heliyon	doi: 10.1016/j.heliyon.2024.e31970
38864138	2024 Jun 18	"Chai X, Sun Z, Li H, Zhu L, Liu X, Liu Y, Pei F, Chang Q"	[Clinicopathological characteristics of the CD8(+) T lymphocytes infiltration and its mechanism in distinct molecular subtype of medulloblastoma].	Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences	
38862971	2024 Jun 11	"Lu X, Liu J, Feng L, Huang Y, Xu Y, Li C, Wang W, Kan Y, Yang J, Zhang M"	BATF promotes tumor progression and association with FDG PET-derived parameters in colorectal cancer.	Journal of translational medicine	doi: 10.1186/s12967-024-05367-5
38862250	2024 Jun 11	"Guo Z, Cao B, Hu Z, Wu J, Zhou W, Zhang W, Shi Z"	"Immunotherapy, prognostic, and tumor biomarker based on pancancer analysis, SMARCD3."	Aging	doi: 10.18632/aging.205921
38861249	2024 Jun 11	"Liu Z, Chen M, Zheng W, Yuan S, Zhao W"	Insights into the prognostic value and immunological role of CD74 in pan-cancer.	Discover oncology	doi: 10.1007/s12672-024-01081-2
38859942	2024	"Drobyshev A, Modestov A, Suntsova M, Poddubskaya E, Seryakov A, Moisseev A, Sorokin M, Tkachev V, Zakharova G, Simonov A, Zolotovskaia MA, Buzdin A"	Pan-cancer experimental characteristic of human transcriptional patterns connected with telomerase reverse transcriptase (TERT) gene expression status.	Frontiers in genetics	doi: 10.3389/fgene.2024.1401100
38858644	2024 Jun 10	"Zhan ZQ, Huang ZM, Lan QW, Luo YH, Li JX, Zheng YF, Chen YZ, Chen PZ, Luo TY, Sun B, Cheng ZJ"	Integrated multi-omics analyses revealed the association between rheumatoid arthritis and colorectal cancer: MYO9A as a shared gene signature and an immune-related therapeutic target.	BMC cancer	doi: 10.1186/s12885-024-12466-5
38855425	2024	"Wu Z, Huang C"	Unveiling the Impact of MRC1 on Immune Infiltration and Patient's Prognosis: A Pan-Cancer Analysis Based on Single-Cell and Bulk Sequencing.	International journal of general medicine	doi: 10.2147/IJGM.S461144
38855424	2024	"Wei L, Meng J, Xiang D, Yang Q, Zhou Y, Xu L, Chen J, Han Y"	The Pan-Cancer Analysis Uncovers the Prognostic and Immunotherapeutic Significance of CD19 as an Immune Marker in Tumor.	International journal of general medicine	doi: 10.2147/IJGM.S459914
38855156	2024 May 28	"Huang LM, Zhang MJ"	Kinesin 26B modulates M2 polarization of macrophage by activating cancer-associated fibroblasts to aggravate gastric cancer occurrence and metastasis.	World journal of gastroenterology	doi: 10.3748/wjg.v30.i20.2689
38855103	2024	"Ding C, Huang H, Wu D, Chen C, Hua Y, Liu J, Li Y, Liu H, Chen J"	Pan-cancer analysis predict that FAT1 is a therapeutic target and immunotherapy biomarker for multiple cancer types including non-small cell lung cancer.	Frontiers in immunology	doi: 10.3389/fimmu.2024.1369073
38846934	2024	"Yang Y, Zou GM, Wei XS, Zhang Z, Zhuo L, Xu QQ, Li WG"	Identification and validation of biomarkers in membranous nephropathy and pan-cancer analysis.	Frontiers in immunology	doi: 10.3389/fimmu.2024.1302909
38846083	2024	"Ramos Solis N, Cannon A, Dilday T, Abt M, Oblak AL, Soloff AC, Kaplan MH, Yeh ES"	HUNK as a key regulator of tumor-associated macrophages in triple negative breast cancer.	Oncoimmunology	doi: 10.1080/2162402X.2024.2364382
38845941	2024 Jun 15	"Liu Y, Sun Y, Xiao M, Li S, Shi S"	Comprehensive pan-cancer analysis reveals the versatile role of GALNT7 in epigenetic alterations and immune modulation in cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e31515
38845861	2024 Jun 15	"Zong Y, Zhu A, Liu P, Fu P, Li Y, Chen S, Gao X"	Pan-cancer analysis of the disulfidptosis-related gene RPN1 and its potential biological function and prognostic significance in gliomas.	Heliyon	doi: 10.1016/j.heliyon.2024.e31875
38845188	2024 Jun 6	"Mateusiak Ł, Floru S, De Groof TWM, Wouters J, Declerck NB, Debie P, Janssen S, Zeven K, Puttemans J, Vincke C, Breckpot K, Devoogdt N, Hernot S"	Generation and Characterization of Novel Pan-Cancer Anti-uPAR Fluorescent Nanobodies as Tools for Image-Guided Surgery.	"Advanced science (Weinheim, Baden-Wurttemberg, Germany)"	doi: 10.1002/advs.202400700
38842133	2024 Jun	"Xu S, Xing J, Li K, Qiao L, Zhang C, Ren Y, Liu Y"	Pan-cancer analysis of DCTN2 and its tumour-promoting role in HCC by modulating the AKT pathway.	Journal of cellular and molecular medicine	doi: 10.1111/jcmm.18450
38840106	2024 Jun 5	"Li X, Wang C, Wang Y, Chen X, Li Z, Wang J, Liu Y"	Integrated analysis of the role of PR/SET domain 14 in gastric cancer.	BMC cancer	doi: 10.1186/s12885-024-12424-1
38836983	2024 Jun 5	"Ma J, Lang B, Wang L, Zhou Y, Fu C, Tian C, Xue L"	Pan-Cancer Analysis and Experimental Validation of CEND1 as a Prognostic and Immune Infiltration-Associated Biomarker for Gliomas.	Molecular biotechnology	doi: 10.1007/s12033-024-01197-4
38834966	2024 Jun 4	"Ye J, Ying J, Chen H, Wu Z, Huang C, Zhang C, Chen Z, Chen H"	PPIH acts as a potential predictive biomarker for patients with common solid tumors.	BMC cancer	doi: 10.1186/s12885-024-12446-9
38833156	2024 Jun 4	"Luo L, Jiang M, Wu H, Liu Y, Wang H, Zhou C, Ren S, Chen X, Jiang T, Xu C"	SIRPG expression positively associates with an inflamed tumor microenvironment and response to PD-1 blockade.	"Cancer immunology, immunotherapy : CII"	doi: 10.1007/s00262-024-03737-y
38824700	2024 Aug	"Vala DP, Dunne Miller A, Atmasidha A, Parmar MP, Patel CD, Upadhyay DB, Bhalodiya SS, González-Bakker A, Khan AN, Nogales J, Padrón JM, Banerjee S, Patel HM"	"Click-chemistry mediated synthesis of OTBN-1,2,3-Triazole derivatives exhibiting STK33 inhibition with diverse anti-cancer activities."	Bioorganic chemistry	doi: 10.1016/j.bioorg.2024.107485
38822443	2024 May 31	"Deng C, Li ZX, Xie CJ, Zhang QL, Hu BS, Wang MD, Mei J, Yang C, Zhong Z, Wang KW"	Pan-cancer analysis of CDKN2A alterations identifies a subset of gastric cancer with a cold tumor immune microenvironment.	Human genomics	doi: 10.1186/s40246-024-00615-7
38820302	2024	"Nguyen PT, Shimojukkoku Y, Kajiya Y, Oku Y, Tomishima A, Shima K, Sasahira T"	Gene alterations in the nuclear transport receptor superfamily: A study of head and neck cancer.	PloS one	doi: 10.1371/journal.pone.0300446
38819212	2024 May 30	"Dong B, Wang B, Fan M, Zhang J, Zhao Z"	Comprehensive analysis to identify PUS7 as a prognostic biomarker from pan-cancer analysis to osteosarcoma validation.	Aging	doi: 10.18632/aging.205863
38817870	2024	"Sun W, Ge J, Zhang L, Zhou F, Liu J"	"Exploring the role of innate immunity in Cholangiocarcinoma: implications for prognosis, immune infiltration, and tumor metastasis."	Journal of Cancer	doi: 10.7150/jca.94194
38816548	2024 May 30	"Wang C, Yang Y, Li D, Guan Y, Cao M, Nie M, Sun C, Fu W, Kong X"	Immunological Roles of CCL18 in Pan‑Cancer and Its Potential Value in Endometrial Cancer.	Molecular biotechnology	doi: 10.1007/s12033-024-01205-7
38815867	2024 May 28	"Supplee JG, Affronti HC, Duan R, Brooks RC, Stine ZE, Nguyen PTT, Pinheiro LV, Noji MC, Drummond JM, Huang K, Schultz K, Dang CV, Marmorstein R, Wellen KE"	ACLY alternative splicing correlates with cancer phenotypes.	The Journal of biological chemistry	doi: 10.1016/j.jbc.2024.107418
38814103	2024 May 30	"Subbiah V, Gouda MA, Ryll B, Burris HA 3rd, Kurzrock R"	The evolving landscape of tissue-agnostic therapies in precision oncology.	CA: a cancer journal for clinicians	doi: 10.3322/caac.21844
38813139	2024 May 30	"Wang B, Sun D, Li H, Chen J"	A bird's eye view of the potential role of NFKBIA in pan-cancer.	Heliyon	doi: 10.1016/j.heliyon.2024.e31204
38809277	2024 May 29	"Huang H, Su L, Zhang R, Wu D, Ding C, Chen C, Zhu G, Cao P, Li X, Li Y, Liu H, Chen J"	Pan-cancer analysis combined with experiments predicts NNMT as a therapeutic target for human cancers.	Discover oncology	doi: 10.1007/s12672-024-01052-7
38800929	2024 Jun	"Cui Y, Lv P, Zhang C"	NSUN6 mediates 5-methylcytosine modification of METTL3 and promotes colon adenocarcinoma progression.	Journal of biochemical and molecular toxicology	doi: 10.1002/jbt.23749
38796629	2024 May 25	"Wang S, Li Y, Lin Y, Li J, Guo L, Wang H, Lin X, Liu Z, Zhang B, Liao Z, Zhang Z"	Bioinformatics analysis and experimental verification of the cancer-promoting effect of DHODH in clear cell renal cell carcinoma.	Scientific reports	doi: 10.1038/s41598-024-62738-0
